"","Package","LibPath","Version","Priority","Built"
"69","rmarkdown","/Users/kaczmarek/Library/R/3.4/library","1.8",NA,"3.4.2"
"70","robustbase","/Users/kaczmarek/Library/R/3.4/library","0.92-8",NA,"3.4.2"
"71","rprojroot","/Users/kaczmarek/Library/R/3.4/library","1.3-2",NA,"3.4.3"
"72","rsconnect","/Users/kaczmarek/Library/R/3.4/library","0.8.5",NA,"3.4.1"
"73","RSocrata","/Users/kaczmarek/Library/R/3.4/library","1.7.4-7",NA,"3.4.3"
"74","rstudioapi","/Users/kaczmarek/Library/R/3.4/library","0.7",NA,"3.4.1"
"75","seriation","/Users/kaczmarek/Library/R/3.4/library","1.2-2",NA,"3.4.0"
"76","sfsmisc","/Users/kaczmarek/Library/R/3.4/library","1.1-1",NA,"3.4.0"
"77","sna","/Users/kaczmarek/Library/R/3.4/library","2.4",NA,"3.4.0"
"78","SQUAREM","/Users/kaczmarek/Library/R/3.4/library","2017.10-1",NA,"3.4.2"
"79","statnet.common","/Users/kaczmarek/Library/R/3.4/library","4.0.0",NA,"3.4.1"
"80","styler","/Users/kaczmarek/Library/R/3.4/library","1.0.0",NA,"3.4.3"
"81","timeDate","/Users/kaczmarek/Library/R/3.4/library","3042.101",NA,"3.4.2"
"82","trimcluster","/Users/kaczmarek/Library/R/3.4/library","0.1-2",NA,"3.4.0"
"83","TSP","/Users/kaczmarek/Library/R/3.4/library","1.1-5",NA,"3.4.0"
"84","tweenr","/Users/kaczmarek/Library/R/3.4/library","0.1.5",NA,"3.4.0"
"85","udunits2","/Users/kaczmarek/Library/R/3.4/library","0.13",NA,"3.4.0"
"86","units","/Users/kaczmarek/Library/R/3.4/library","0.5-1",NA,"3.4.3"
"87","usethis","/Users/kaczmarek/Library/R/3.4/library","1.2.0",NA,"3.4.3"
"88","UsingR","/Users/kaczmarek/Library/R/3.4/library","2.0-5",NA,"3.4.0"
"89","whisker","/Users/kaczmarek/Library/R/3.4/library","0.3-2",NA,"3.4.0"
"90","withr","/Users/kaczmarek/Library/R/3.4/library","2.1.1",NA,"3.4.3"
"91","assertthat","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2.0",NA,"3.4.0"
"92","base","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.2","base","3.4.2"
"93","base64enc","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.1-3",NA,"3.4.0"
"94","BH","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.65.0-1",NA,"3.4.1"
"95","bindr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.1",NA,"3.4.0"
"96","bindrcpp","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2",NA,"3.4.0"
"97","bitops","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0-6",NA,"3.4.0"
"98","boot","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.3-20","recommended","3.4.2"
"99","broom","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.4.3",NA,"3.4.3"
"100","callr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0.0",NA,"3.4.0"
"101","car","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.1-6",NA,"3.4.3"
"102","caTools","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.17.1",NA,"3.4.0"
"103","cellranger","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1.0",NA,"3.4.0"
"104","class","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","7.3-14","recommended","3.4.2"
"105","cli","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0.0",NA,"3.4.2"
"106","clipr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.4.0",NA,"3.4.2"
"107","cluster","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.0.6","recommended","3.4.2"
"108","codetools","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2-15","recommended","3.4.2"
"109","colorspace","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.3-2",NA,"3.4.0"
"110","compiler","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.2","base","3.4.2"
"111","crayon","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.3.4",NA,"3.4.1"
"112","crosstalk","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0.0",NA,"3.4.0"
"113","curl","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.1",NA,"3.4.3"
"114","datasets","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.2","base","3.4.2"
"115","DBI","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.7",NA,"3.4.0"
"116","dbplyr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.2.0",NA,"3.4.2"
